period,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a
FULL_2010_2023,0.3144078144078144,0.1300366300366299,0.15140415140415153,0.5958485958485958
EARLY_2010_2016,0.46590986969507564,0.18437118437118433,0.24969474969474975,0.8999758037610097
LATE_2017_2023,0.5061050061050061,-0.17948717948717952,0.007326007326007411,0.333943833943834
