role,period,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate
PRIMARY,FULL_2010_2023,0.09218559218559218,0.4065934065934066,0.5366300366300365,0.08424908424908426,0.47191697191697196,0.688034188034188,0.3144078144078144,0.1300366300366299,0.15140415140415153,0.5958485958485958,0.07326007326007333,0.08608058608058616
SECONDARY,EARLY_2010_2016,-0.21377311755832354,0.25213675213675213,0.43650793650793646,-0.1850664417719201,0.5006105006105006,0.6862026862026862,0.46590986969507564,0.18437118437118433,0.24969474969474975,0.8999758037610097,0.21976707268734508,0.0012210012210012722
SECONDARY,LATE_2017_2023,0.09401709401709402,0.6001221001221001,0.4206349206349206,0.0879120879120879,0.4603174603174603,0.427960927960928,0.5061050061050061,-0.17948717948717952,0.007326007326007411,0.333943833943834,-0.13369963369963367,0.14713064713064722
