a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,period,spec,estimator,cmur_mode,correlation
0.09218559218559218,0.4065934065934066,0.5366300366300365,0.08424908424908426,0.47191697191697196,0.688034188034188,0.3144078144078144,0.1300366300366299,0.15140415140415153,0.5958485958485958,0.07326007326007333,0.08608058608058616,0.0,FULL_2010_2023,primary_common_pc,OLS,pp,spearman
0.048433048433048444,0.2763532763532764,0.35042735042735046,0.08831908831908834,0.3162393162393163,0.49287749287749294,0.22792022792022795,0.07407407407407407,0.14245014245014248,0.4444444444444445,-2.7755575615628914e-17,0.10256410256410259,0.0,FULL_2010_2023,primary_common_pc,OLS,pp,kendall
0.11312050666756839,0.4037170741783327,0.5583054975767748,0.019750265778941917,0.5523091100816752,0.7571120036091447,0.2905965675107643,0.15458842339844214,0.19880650603236982,0.6439914969415763,0.24196227679196897,0.050214470129027355,0.0,FULL_2010_2023,primary_common_pc,OLS,pp,pearson
0.08852258852258853,0.409035409035409,0.5286935286935286,0.09645909645909646,0.48168498168498164,0.6916971916971917,0.3205128205128205,0.11965811965811957,0.1630036630036631,0.6031746031746031,0.0647130647130647,0.09035409035409048,0.0,FULL_2010_2023,published_pc,OLS,pp,spearman
0.042735042735042736,0.2820512820512821,0.3447293447293448,0.09971509971509973,0.3276353276353277,0.5042735042735044,0.23931623931623935,0.0626780626780627,0.15954415954415957,0.4615384615384616,-0.011396011396011374,0.11396011396011396,0.0,FULL_2010_2023,published_pc,OLS,pp,kendall
0.11602539361449665,0.4022825388482894,0.5561159054187969,0.021873347776306527,0.5524141920666065,0.7561463129558309,0.28625714523379275,0.15383336657050745,0.20003040753703405,0.6401209193413342,0.24428369905650715,0.04989875431871699,0.0,FULL_2010_2023,published_pc,OLS,pp,pearson
-0.10805860805860806,0.4065934065934066,0.5366300366300365,-0.024420024420024417,0.47191697191697196,0.688034188034188,0.5146520146520146,0.1300366300366299,0.15140415140415153,0.7960927960927962,-0.01831501831501825,0.08608058608058616,-1.1102230246251565e-16,FULL_2010_2023,primary_common_pc,OLS,log,spearman
0.08485958485958486,0.49877899877899873,0.6379731379731379,0.05738705738705738,0.5506715506715506,0.7997557997557997,0.4139194139194139,0.1391941391941392,0.16178266178266176,0.7148962148962148,0.0793650793650793,0.10989010989010989,1.1102230246251565e-16,FULL_2010_2023,primary_common_pc,THEIL_SEN,pp,spearman
0.1349206349206349,0.32722832722832723,0.37484737484737485,0.01282051282051282,0.44017094017094016,0.5653235653235653,0.19230769230769232,0.047619047619047616,0.19047619047619047,0.43040293040293043,0.235042735042735,0.07753357753357754,0.0,FULL_2010_2023,total_scale,OLS,pp,spearman
-0.21377311755832354,0.25213675213675213,0.43650793650793646,-0.1850664417719201,0.5006105006105006,0.6862026862026862,0.46590986969507564,0.18437118437118433,0.24969474969474975,0.8999758037610097,0.21976707268734508,0.0012210012210012722,0.0,EARLY_2010_2016,primary_common_pc,OLS,pp,spearman
-0.12589529397490337,0.1965811965811966,0.2934472934472935,-0.11445026724991215,0.39601139601139607,0.5042735042735044,0.32247649055609995,0.09686609686609687,0.2108262108262109,0.6301687982484078,0.18798517270520831,0.01139601139601143,-1.1102230246251565e-16,EARLY_2010_2016,primary_common_pc,OLS,pp,kendall
-0.3813093802242483,-0.1518341764979585,0.2704779233530025,-0.09532446831985845,0.24327728346976746,0.5250130806478621,0.22947520372628982,0.422312099850961,0.2545351572948596,0.9063224608721104,0.1091265480633361,-0.14057630267286636,-1.1102230246251565e-16,EARLY_2010_2016,primary_common_pc,OLS,pp,pearson
-0.20797070436745477,0.26068376068376065,0.4536019536019536,-0.1850664417719201,0.5006105006105006,0.6862026862026862,0.46865446505121544,0.19291819291819295,0.2326007326007326,0.894173390570141,0.21702247733120528,-0.0073260073260073555,0.0,EARLY_2010_2016,published_pc,OLS,pp,spearman
-0.12017278061240778,0.20227920227920232,0.2991452991452992,-0.11445026724991215,0.39601139601139607,0.5042735042735044,0.3224519828916101,0.09686609686609687,0.20512820512820518,0.6244462848859121,0.18800968036969817,0.01139601139601143,0.0,EARLY_2010_2016,published_pc,OLS,pp,kendall
-0.39196390058716624,-0.12107572905783998,0.2899925392145951,-0.09548860074280488,0.24419272532022404,0.525649011585529,0.27088817152932626,0.4110682682724351,0.2356564723709339,0.9176129121726952,0.06879315453370266,-0.12961198200713014,0.0,EARLY_2010_2016,published_pc,OLS,pp,pearson
-0.3315018315018315,0.25213675213675213,0.43650793650793646,-0.1398046398046398,0.5006105006105006,0.6862026862026862,0.5836385836385836,0.18437118437118433,0.24969474969474975,1.0177045177045176,0.0567765567765568,0.0012210012210012722,0.0,EARLY_2010_2016,primary_common_pc,OLS,log,spearman
-0.2564967839171852,0.2442002442002442,0.434065934065934,-0.2253136230595536,0.49389499389499386,0.7026862026862026,0.5006970281174294,0.18986568986568983,0.2686202686202686,0.9591829866033879,0.21851158883711808,0.01892551892551894,0.0,EARLY_2010_2016,primary_common_pc,THEIL_SEN,pp,spearman
-0.29286917105490323,0.06532356532356533,0.1752136752136752,-0.09039548971037681,0.3571428571428571,0.3864468864468864,0.35819273637846855,0.10989010989010987,0.2112332112332112,0.6793160575017896,0.08934561047476536,-0.08058608058608056,0.0,EARLY_2010_2016,total_scale,OLS,pp,spearman
0.09401709401709402,0.6001221001221001,0.4206349206349206,0.0879120879120879,0.4603174603174603,0.427960927960928,0.5061050061050061,-0.17948717948717952,0.007326007326007411,0.333943833943834,-0.13369963369963367,0.14713064713064722,0.0,LATE_2017_2023,primary_common_pc,OLS,pp,spearman
0.06552706552706554,0.4301994301994303,0.3048433048433049,0.048433048433048444,0.3561253561253562,0.3105413105413106,0.36467236467236475,-0.1253561253561254,0.005698005698005715,0.24501424501424507,-0.05698005698005704,0.07977207977207984,0.0,LATE_2017_2023,primary_common_pc,OLS,pp,kendall
0.11370089144865363,0.6462814884233488,0.4984848269584582,-0.0058668119129897675,0.5783428540215629,0.5408169740197787,0.5325805969746952,-0.14779666146489057,0.04233214706132049,0.42711608257112504,0.05162906895985753,0.11027078146310632,5.551115123125783e-17,LATE_2017_2023,primary_common_pc,OLS,pp,pearson
0.0757020757020757,0.5592185592185592,0.37606837606837606,0.0995115995115995,0.45238095238095233,0.4133089133089133,0.4835164835164835,-0.18315018315018317,0.03724053724053722,0.3376068376068376,-0.13064713064713068,0.14407814407814412,0.0,LATE_2017_2023,published_pc,OLS,pp,spearman
0.05413105413105414,0.39601139601139607,0.2706552706552707,0.06552706552706554,0.3618233618233619,0.3048433048433049,0.34188034188034194,-0.1253561253561254,0.03418803418803423,0.2507122507122508,-0.04558404558404561,0.06837606837606841,0.0,LATE_2017_2023,published_pc,OLS,pp,kendall
0.13222649426836416,0.6432461437124544,0.5007971669867647,-0.002805856407135723,0.5703948776058548,0.5335334527460579,0.5110196494440902,-0.14244897672568968,0.032736285759293215,0.4013069584776937,0.06218108456890037,0.10558755186589275,0.0,LATE_2017_2023,published_pc,OLS,pp,pearson
0.027472527472527472,0.6001221001221001,0.4206349206349206,0.019536019536019536,0.4603174603174603,0.427960927960928,0.5726495726495726,-0.17948717948717952,0.007326007326007411,0.4004884004884005,-0.13186813186813184,0.14713064713064722,0.0,LATE_2017_2023,primary_common_pc,OLS,log,spearman
0.06259542276535979,0.5873015873015872,0.4536019536019536,0.1606106945101427,0.4682539682539682,0.44932844932844934,0.5247061645362274,-0.1336996336996336,-0.004273504273504258,0.38673302656308955,-0.21706289079240193,0.11477411477411475,0.0,LATE_2017_2023,primary_common_pc,THEIL_SEN,pp,spearman
-0.007326007326007325,0.6184371184371185,0.3504273504273504,0.023809523809523808,0.5036630036630036,0.3742368742368742,0.6257631257631258,-0.26800976800976806,0.02380952380952378,0.3815628815628815,-0.14590964590964595,0.1385836385836386,0.0,LATE_2017_2023,total_scale,OLS,pp,spearman
