period,omit_geo,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,influence__D1_b_minus_a,influence__D2_c_minus_b,influence__D3_f_minus_c,influence__D_TOTAL_f_minus_a,influence__I1_construct_x_climate,influence__I2_scope_x_climate
FULL_2010_2023,AT,0.09333333333333332,0.41538461538461535,0.5528205128205128,0.07555555555555556,0.481025641025641,0.7066666666666667,0.32205128205128203,0.13743589743589746,0.15384615384615385,0.6133333333333333,0.08341880341880342,0.08820512820512821,0.0,-0.007643467643467627,-0.007399267399267551,-0.0024420024420023223,-0.017484737484737445,-0.01015873015873009,-0.0021245421245420504
FULL_2010_2023,BE,0.07418803418803417,0.40717948717948715,0.5452991452991452,0.05846153846153846,0.4755555555555555,0.6868376068376068,0.332991452991453,0.1381196581196581,0.1415384615384615,0.6126495726495725,0.08410256410256406,0.07316239316239315,1.1102230246251565e-16,-0.018583638583638595,-0.008083028083028188,0.00986568986569003,-0.016800976800976697,-0.010842490842490726,0.012918192918193017
FULL_2010_2023,BG,0.10769230769230768,0.3429059829059829,0.49196581196581196,0.09128205128205127,0.4215384615384615,0.6574358974358974,0.2352136752136752,0.14905982905982906,0.1654700854700854,0.5497435897435897,0.09504273504273497,0.08683760683760683,-1.1102230246251565e-16,0.0791941391941392,-0.019023199023199155,-0.014065934065933872,0.04610500610500612,-0.02178266178266164,-0.0007570207570206655
FULL_2010_2023,HR,0.12957264957264958,0.3641025641025641,0.4974358974358974,0.11316239316239315,0.43384615384615377,0.6622222222222223,0.2345299145299145,0.1333333333333333,0.16478632478632488,0.5326495726495727,0.08615384615384608,0.0950427350427352,0.0,0.0798778998778999,-0.003296703296703396,-0.013382173382173346,0.06319902319902315,-0.012893772893772748,-0.00896214896214903
FULL_2010_2023,CY,0.09333333333333332,0.4297435897435897,0.5801709401709401,0.07350427350427349,0.4823931623931623,0.7141880341880341,0.3364102564102564,0.15042735042735034,0.13401709401709405,0.6208547008547007,0.07247863247863245,0.08136752136752146,0.0,-0.022002442002442002,-0.02039072039072043,0.01738705738705748,-0.025006105006104895,0.0007814407814408786,0.004713064713064707
FULL_2010_2023,CZ,0.09606837606837607,0.40854700854700854,0.5268376068376068,0.09675213675213674,0.46529914529914523,0.6717948717948717,0.3124786324786325,0.11829059829059829,0.1449572649572649,0.5757264957264957,0.056068376068376,0.08820512820512821,0.0,0.0019291819291819001,0.011746031746031615,0.006446886446886624,0.02012210012210014,0.01719169719169733,-0.0021245421245420504
FULL_2010_2023,DK,0.1152136752136752,0.4591452991452991,0.587008547008547,0.09538461538461539,0.4892307692307692,0.7162393162393161,0.3439316239316239,0.12786324786324788,0.12923076923076915,0.6010256410256409,0.04991452991452988,0.09914529914529907,0.0,-0.029523809523809508,0.0021733821733820324,0.022173382173382383,-0.005177045177045092,0.02334554334554345,-0.013064713064712907
FULL_2010_2023,EE,0.0003418803418803419,0.442051282051282,0.5965811965811965,0.037264957264957266,0.5035897435897435,0.7258119658119657,0.4417094017094017,0.15452991452991444,0.12923076923076926,0.7254700854700854,0.02461538461538454,0.06769230769230777,0.0,-0.1273015873015873,-0.02449328449328453,0.022173382173382272,-0.12962148962148956,0.048644688644688794,0.01838827838827839
FULL_2010_2023,FI,0.18974358974358974,0.4365811965811965,0.532991452991453,0.20615384615384613,0.4974358974358974,0.6861538461538461,0.24683760683760675,0.09641025641025652,0.1531623931623931,0.4964102564102564,0.04444444444444451,0.0923076923076922,0.0,0.06757020757020765,0.033626373626373385,-0.0017582417582415744,0.09943833943833946,0.028815628815628824,-0.0062271062271060384
FULL_2010_2023,FR,0.13299145299145299,0.4133333333333333,0.5521367521367521,0.14324786324786323,0.4803418803418803,0.6984615384615384,0.2803418803418803,0.1388034188034188,0.1463247863247863,0.5654700854700854,0.056752136752136806,0.07931623931623927,0.0,0.03406593406593411,-0.00876678876678888,0.005079365079365239,0.03037851037851047,0.016507936507936527,0.006764346764346896
FULL_2010_2023,DE,0.10427350427350426,0.4044444444444444,0.5582905982905982,0.09538461538461539,0.47076923076923066,0.7059829059829059,0.30017094017094015,0.15384615384615385,0.14769230769230768,0.6017094017094017,0.07521367521367511,0.0813675213675214,0.0,0.014236874236874253,-0.023809523809523947,0.003711843711843854,-0.00586080586080584,-0.00195360195360178,0.004713064713064763
FULL_2010_2023,EL,0.08512820512820513,0.401025641025641,0.5275213675213675,0.08376068376068375,0.43863247863247856,0.6629059829059828,0.31589743589743585,0.1264957264957265,0.13538461538461533,0.5777777777777777,0.03897435897435897,0.09777777777777774,0.0,-0.001489621489621451,0.0035409035409034173,0.016019536019536207,0.018070818070818118,0.034285714285714364,-0.011697191697191578
FULL_2010_2023,HU,0.06324786324786325,0.3442735042735042,0.49196581196581196,0.04478632478632478,0.42085470085470084,0.6574358974358974,0.281025641025641,0.14769230769230773,0.1654700854700854,0.5941880341880341,0.09504273504273508,0.0888888888888888,0.0,0.03338217338217342,-0.017655677655677826,-0.014065934065933872,0.0016605616605617213,-0.02178266178266175,-0.002808302808302632
FULL_2010_2023,IE,0.07076923076923076,0.3627350427350427,0.5022222222222221,0.039999999999999994,0.43384615384615377,0.6622222222222223,0.29196581196581195,0.13948717948717942,0.16000000000000014,0.5914529914529915,0.10188034188034184,0.08888888888888907,1.1102230246251565e-16,0.02244200244200245,-0.009450549450549517,-0.00859584859584861,0.00439560439560438,-0.028620268620268507,-0.0028083028083029093
FULL_2010_2023,IT,0.09606837606837607,0.41743589743589743,0.5521367521367521,0.06666666666666665,0.4803418803418803,0.7107692307692307,0.32136752136752134,0.13470085470085463,0.15863247863247865,0.6147008547008547,0.09230769230769231,0.09572649572649577,-1.1102230246251565e-16,-0.006959706959706935,-0.004664224664224725,-0.007228327228327114,-0.01885225885225883,-0.01904761904761898,-0.009645909645909612
FULL_2010_2023,LV,0.11658119658119658,0.3449572649572649,0.4926495726495726,0.0864957264957265,0.42085470085470084,0.6588034188034186,0.22837606837606833,0.14769230769230768,0.16615384615384604,0.542222222222222,0.105982905982906,0.09025641025641012,0.0,0.08603174603174607,-0.01765567765567777,-0.014749694749694509,0.05362637362637379,-0.03272283272283266,-0.004175824175823961
FULL_2010_2023,LT,0.06324786324786325,0.3442735042735042,0.4926495726495726,0.055726495726495726,0.4393162393162393,0.6676923076923077,0.281025641025641,0.14837606837606837,0.1750427350427351,0.6044444444444445,0.10256410256410259,0.08000000000000002,0.0,0.03338217338217342,-0.018339438339438463,-0.023638583638583566,-0.00859584859584861,-0.029304029304029255,0.006080586080586148
FULL_2010_2023,LU,0.18974358974358974,0.4618803418803418,0.5049572649572649,0.20615384615384613,0.530940170940171,0.6594871794871794,0.2721367521367521,0.04307692307692307,0.1545299145299145,0.46974358974358965,0.05264957264957276,0.08547008547008533,0.0,0.04227106227106231,0.08695970695970684,-0.0031257631257629592,0.1261050061050062,0.02061050061050057,0.0006105006105008304
FULL_2010_2023,MT,-0.016752136752136753,0.4974358974358974,0.5829059829059828,0.025641025641025637,0.545982905982906,0.7162393162393161,0.5141880341880342,0.08547008547008544,0.1333333333333333,0.7329914529914529,0.006153846153846176,0.0847863247863247,1.1102230246251565e-16,-0.19978021978021976,0.044566544566544464,0.01807081807081823,-0.137142857142857,0.06710622710622716,0.0012942612942614673
FULL_2010_2023,NL,0.06393162393162392,0.401025641025641,0.5528205128205128,0.07213675213675212,0.4803418803418803,0.7073504273504274,0.33709401709401704,0.15179487179487183,0.1545299145299146,0.6434188034188035,0.07111111111111112,0.07521367521367528,0.0,-0.02268620268620264,-0.021758241758241925,-0.0031257631257630702,-0.04757020757020769,0.002148962148962208,0.010866910866910884
FULL_2010_2023,PL,0.05025641025641025,0.39829059829059826,0.5439316239316239,0.055726495726495726,0.4659829059829059,0.6909401709401709,0.348034188034188,0.1456410256410256,0.14700854700854704,0.6406837606837607,0.06222222222222218,0.07931623931623938,0.0,-0.03362637362637361,-0.015604395604395693,0.004395604395604491,-0.04483516483516481,0.011037851037851154,0.006764346764346785
FULL_2010_2023,PT,0.07965811965811966,0.41538461538461535,0.5487179487179487,0.07897435897435896,0.481025641025641,0.7025641025641025,0.3357264957264957,0.1333333333333333,0.15384615384615385,0.6229059829059829,0.06632478632478633,0.08820512820512821,0.0,-0.02131868131868131,-0.003296703296703396,-0.0024420024420023223,-0.027057387057387028,0.0069352869352869995,-0.0021245421245420504
FULL_2010_2023,RO,0.05025641025641025,0.3545299145299145,0.5008547008547009,0.012649572649572649,0.40854700854700854,0.6505982905982907,0.30427350427350425,0.14632478632478635,0.1497435897435898,0.6003418803418804,0.09162393162393162,0.09572649572649577,0.0,0.010134310134310154,-0.01628815628815644,0.0016605616605617213,-0.004493284493284566,-0.018363858363858288,-0.009645909645909612
FULL_2010_2023,SK,0.09743589743589742,0.416068376068376,0.5056410256410256,0.12,0.4981196581196581,0.6615384615384615,0.31863247863247857,0.08957264957264965,0.15589743589743588,0.5641025641025641,0.05948717948717952,0.07384615384615378,0.0,-0.004224664224664165,0.040463980463980254,-0.004493284493284344,0.031746031746031744,0.013772893772893813,0.01223443223443238
FULL_2010_2023,SI,0.10495726495726496,0.4133333333333333,0.5411965811965811,0.06461538461538462,0.4591452991452991,0.6841025641025641,0.30837606837606835,0.12786324786324782,0.142905982905983,0.5791452991452991,0.08615384615384614,0.09709401709401716,1.1102230246251565e-16,0.006031746031746055,0.002173382173382088,0.008498168498168535,0.016703296703296733,-0.012893772893772804,-0.011013431013430997
FULL_2010_2023,ES,0.12205128205128205,0.40717948717948715,0.5452991452991452,0.07829059829059828,0.4871794871794871,0.7141880341880341,0.28512820512820514,0.1381196581196581,0.16888888888888887,0.5921367521367521,0.12376068376068372,0.0888888888888889,0.0,0.029279609279609264,-0.008083028083028188,-0.017484737484737334,0.003711843711843743,-0.05050061050061039,-0.002808302808302743
FULL_2010_2023,SE,0.11042735042735041,0.4591452991452991,0.5596581196581196,0.09743589743589742,0.530940170940171,0.7148717948717949,0.3487179487179487,0.10051282051282051,0.15521367521367524,0.6044444444444445,0.08478632478632486,0.08341880341880337,0.0,-0.0343101343101343,0.029523809523809397,-0.003809523809523707,-0.00859584859584861,-0.01152625152625153,0.0026617826617827967
