geo,period,rank_common_DMC,rank_published_DMC,rank_displacement_DMC,rank_common_RMC,rank_published_RMC,rank_displacement_RMC,rank_common_TERR,rank_published_TERR,rank_displacement_TERR,rank_common_CFOOT,rank_published_CFOOT,rank_displacement_CFOOT
PT,EARLY_2010_2016,5.0,5.0,0.0,5.0,5.0,0.0,23.0,23.0,0.0,9.0,9.0,0.0
RO,EARLY_2010_2016,26.0,26.0,0.0,26.0,26.0,0.0,19.0,19.0,0.0,23.0,23.0,0.0
SE,EARLY_2010_2016,18.0,18.0,0.0,20.0,20.0,0.0,5.0,6.0,1.0,8.0,8.0,0.0
SI,EARLY_2010_2016,7.0,7.0,0.0,6.0,6.0,0.0,8.0,8.0,0.0,6.0,6.0,0.0
SK,EARLY_2010_2016,13.0,13.0,0.0,21.0,21.0,0.0,11.0,12.0,1.0,17.0,17.0,0.0
AT,LATE_2017_2023,15.0,15.0,0.0,16.0,16.0,0.0,15.0,15.0,0.0,16.0,16.0,0.0
BE,LATE_2017_2023,16.0,16.0,0.0,1.0,1.0,0.0,11.0,14.0,3.0,9.0,9.0,0.0
BG,LATE_2017_2023,25.0,25.0,0.0,26.0,26.0,0.0,21.0,21.0,0.0,25.0,25.0,0.0
CY,LATE_2017_2023,21.0,21.0,0.0,25.0,25.0,0.0,19.0,19.0,0.0,13.0,13.0,0.0
CZ,LATE_2017_2023,9.0,8.0,-1.0,9.0,9.0,0.0,12.0,13.0,1.0,14.0,14.0,0.0
DE,LATE_2017_2023,3.0,3.0,0.0,21.0,21.0,0.0,8.0,8.0,0.0,10.0,10.0,0.0
DK,LATE_2017_2023,14.0,14.0,0.0,15.0,15.0,0.0,6.0,6.0,0.0,8.0,7.0,-1.0
EE,LATE_2017_2023,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
EL,LATE_2017_2023,4.0,4.0,0.0,3.0,3.0,0.0,7.0,7.0,0.0,12.0,12.0,0.0
ES,LATE_2017_2023,17.0,17.0,0.0,11.0,11.0,0.0,9.0,9.0,0.0,15.0,15.0,0.0
FI,LATE_2017_2023,19.0,19.0,0.0,12.0,12.0,0.0,5.0,4.0,-1.0,3.0,3.0,0.0
FR,LATE_2017_2023,11.0,10.0,-1.0,6.0,6.0,0.0,14.0,12.0,-2.0,11.0,11.0,0.0
HR,LATE_2017_2023,26.0,26.0,0.0,19.0,19.0,0.0,27.0,27.0,0.0,27.0,27.0,0.0
HU,LATE_2017_2023,6.0,6.0,0.0,17.0,17.0,0.0,18.0,18.0,0.0,23.0,23.0,0.0
IE,LATE_2017_2023,12.0,11.0,-1.0,22.0,22.0,0.0,16.0,16.0,0.0,5.0,5.0,0.0
IT,LATE_2017_2023,20.0,20.0,0.0,13.0,13.0,0.0,24.0,23.0,-1.0,21.0,20.0,-1.0
LT,LATE_2017_2023,24.0,24.0,0.0,23.0,23.0,0.0,20.0,20.0,0.0,17.0,17.0,0.0
LU,LATE_2017_2023,10.0,9.0,-1.0,7.0,7.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
LV,LATE_2017_2023,23.0,23.0,0.0,14.0,14.0,0.0,25.0,25.0,0.0,20.0,21.0,1.0
MT,LATE_2017_2023,8.0,7.0,-1.0,5.0,5.0,0.0,26.0,26.0,0.0,26.0,26.0,0.0
NL,LATE_2017_2023,2.0,2.0,0.0,18.0,18.0,0.0,4.0,3.0,-1.0,7.0,6.0,-1.0
PL,LATE_2017_2023,18.0,18.0,0.0,10.0,10.0,0.0,23.0,24.0,1.0,19.0,19.0,0.0
PT,LATE_2017_2023,7.0,13.0,6.0,4.0,4.0,0.0,3.0,5.0,2.0,6.0,8.0,2.0
RO,LATE_2017_2023,27.0,27.0,0.0,27.0,27.0,0.0,22.0,22.0,0.0,24.0,24.0,0.0
SE,LATE_2017_2023,13.0,12.0,-1.0,8.0,8.0,0.0,10.0,10.0,0.0,2.0,2.0,0.0
SI,LATE_2017_2023,22.0,22.0,0.0,24.0,24.0,0.0,13.0,11.0,-2.0,18.0,18.0,0.0
SK,LATE_2017_2023,5.0,5.0,0.0,20.0,20.0,0.0,17.0,17.0,0.0,22.0,22.0,0.0
