a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,period,omit_year,n_years
0.1221001221001221,0.5164835164835165,0.5854700854700854,0.11965811965811966,0.5598290598290598,0.7344322344322345,0.3943833943833944,0.06898656898656885,0.1489621489621491,0.6123321123321124,0.045787545787545736,0.1056166056166058,0.0,FULL_2010_2023,2010,13
0.1282051282051282,0.46459096459096455,0.5915750915750917,0.12148962148962149,0.49877899877899873,0.7478632478632479,0.33638583638583636,0.12698412698412714,0.15628815628815618,0.6196581196581197,0.04090354090354087,0.122100122100122,0.0,FULL_2010_2023,2011,13
0.14224664224664224,0.39316239316239315,0.5280830280830281,0.12515262515262515,0.43101343101343104,0.6764346764346765,0.2509157509157509,0.13492063492063494,0.14835164835164838,0.5341880341880343,0.05494505494505497,0.1105006105006105,0.0,FULL_2010_2023,2012,13
0.0995115995115995,0.37606837606837606,0.5097680097680098,0.0757020757020757,0.43101343101343104,0.6733821733821733,0.2765567765567766,0.13369963369963378,0.16361416361416348,0.5738705738705738,0.07875457875457875,0.1086691086691085,0.0,FULL_2010_2023,2013,13
0.09584859584859586,0.3956043956043956,0.5433455433455433,0.08852258852258853,0.47496947496947495,0.7081807081807082,0.29975579975579975,0.14774114774114772,0.16483516483516492,0.6123321123321124,0.08669108669108666,0.08547008547008556,0.0,FULL_2010_2023,2014,13
0.0989010989010989,0.4157509157509158,0.532967032967033,0.07509157509157507,0.48229548229548225,0.6929181929181929,0.3168498168498169,0.11721611721611719,0.15995115995115994,0.594017094017094,0.09035409035409031,0.09340659340659346,0.0,FULL_2010_2023,2015,13
0.09218559218559218,0.4065934065934066,0.5317460317460317,0.09035409035409035,0.459096459096459,0.68009768009768,0.3144078144078144,0.12515262515262515,0.14835164835164827,0.5879120879120878,0.05433455433455425,0.09584859584859584,0.0,FULL_2010_2023,2016,13
0.09645909645909646,0.4023199023199023,0.5335775335775336,0.10256410256410256,0.46336996336996333,0.6892551892551892,0.30586080586080583,0.1312576312576313,0.15567765567765568,0.5927960927960928,0.054945054945054916,0.09462759462759462,0.0,FULL_2010_2023,2017,13
0.09645909645909646,0.41514041514041516,0.5305250305250305,0.09584859584859586,0.4731379731379732,0.6843711843711844,0.3186813186813187,0.11538461538461536,0.15384615384615385,0.5879120879120879,0.05860805860805862,0.09584859584859584,0.0,FULL_2010_2023,2018,13
0.13003663003663005,0.4078144078144078,0.5525030525030524,0.12454212454212454,0.4768009768009768,0.7087912087912087,0.2777777777777778,0.14468864468864462,0.1562881562881563,0.5787545787545787,0.07448107448107444,0.08730158730158732,0.0,FULL_2010_2023,2019,13
0.10683760683760683,0.394993894993895,0.5763125763125762,0.11904761904761904,0.4426129426129426,0.6953601953601952,0.28815628815628813,0.18131868131868117,0.11904761904761907,0.5885225885225884,0.035409035409035394,0.07142857142857145,0.0,FULL_2010_2023,2020,13
0.10134310134310134,0.3827838827838828,0.5164835164835165,0.09645909645909646,0.44017094017094016,0.6422466422466423,0.28144078144078144,0.13369963369963372,0.12576312576312576,0.540903540903541,0.06227106227106227,0.06837606837606841,0.0,FULL_2010_2023,2021,13
0.09096459096459096,0.41147741147741146,0.5518925518925519,0.09401709401709402,0.4706959706959707,0.7191697191697193,0.3205128205128205,0.14041514041514047,0.16727716727716735,0.6282051282051283,0.05616605616605619,0.10805860805860812,0.0,FULL_2010_2023,2022,13
0.11904761904761904,0.398046398046398,0.48595848595848595,0.08669108669108669,0.4792429792429792,0.6923076923076923,0.278998778998779,0.08791208791208793,0.20634920634920634,0.5732600732600732,0.11355311355311348,0.12515262515262515,0.0,FULL_2010_2023,2023,13
