block_length,representation,geo,rank_median,rank_diagnostic_q025,rank_diagnostic_q975
2,CFOOT,PL,20.0,19.0,22.0
2,CFOOT,PT,13.0,8.0,18.0
2,CFOOT,RO,26.0,25.0,27.0
2,CFOOT,SK,21.0,20.0,23.0
2,CFOOT,SI,17.0,12.0,19.0
2,CFOOT,ES,16.0,11.0,19.0
2,CFOOT,SE,2.0,1.0,4.0
3,CMUR,AT,7.0,3.0,11.0
3,CMUR,BE,6.0,3.0,11.0
3,CMUR,BG,14.0,10.0,16.0
3,CMUR,HR,10.0,8.0,13.0
3,CMUR,CY,9.0,6.0,14.0
3,CMUR,CZ,4.0,3.0,6.0
3,CMUR,DK,17.0,14.0,20.0
3,CMUR,EE,4.0,2.0,15.0
3,CMUR,FI,26.0,24.0,26.0
3,CMUR,FR,23.0,17.0,25.0
3,CMUR,DE,14.0,12.0,16.0
3,CMUR,EL,11.0,7.0,14.0
3,CMUR,HU,20.0,17.0,22.0
3,CMUR,IE,21.0,19.0,22.0
3,CMUR,IT,2.0,1.9750000000000227,5.0
3,CMUR,LV,13.0,7.0,18.0
3,CMUR,LT,19.0,17.0,21.0
3,CMUR,LU,27.0,25.0,27.0
3,CMUR,MT,1.0,1.0,1.0249999999996362
3,CMUR,NL,7.0,4.0,11.0
3,CMUR,PL,25.0,23.0,27.0
3,CMUR,PT,17.0,16.0,20.0
3,CMUR,RO,24.0,23.0,24.0
3,CMUR,SK,5.0,2.0,9.0
3,CMUR,SI,15.0,10.0,19.0
3,CMUR,ES,22.0,17.0,25.0
3,CMUR,SE,14.0,8.0,22.0
3,DMC,AT,10.0,5.0,13.0
3,DMC,BE,7.0,4.0,12.0
3,DMC,BG,23.0,22.0,25.0
3,DMC,HR,21.0,17.0,23.0
3,DMC,CY,7.0,1.0,23.0
3,DMC,CZ,13.0,8.0,14.0
3,DMC,DK,18.0,15.0,20.0
3,DMC,EE,15.0,5.0,21.0
3,DMC,FI,10.0,6.0,14.0
3,DMC,FR,9.0,5.0,12.0
3,DMC,DE,4.0,3.0,10.0
3,DMC,EL,1.0,1.0,2.0
3,DMC,HU,25.0,21.0,27.0
3,DMC,IE,20.0,16.0,21.0
3,DMC,IT,3.0,2.0,10.0
3,DMC,LV,24.0,22.0,25.0
3,DMC,LT,26.0,24.0,26.0
3,DMC,LU,16.0,11.0,20.0
3,DMC,MT,22.0,13.0,26.0
3,DMC,NL,2.0,2.0,5.0
3,DMC,PL,15.0,13.0,19.0
3,DMC,PT,9.0,6.0,14.0
3,DMC,RO,27.0,26.0,27.0
3,DMC,SK,9.0,4.0,13.0
3,DMC,SI,16.0,10.0,21.0
3,DMC,ES,5.0,4.0,16.0
3,DMC,SE,18.0,14.0,20.0
3,RMC,AT,8.0,5.0,13.0
3,RMC,BE,4.0,2.0,10.0
3,RMC,BG,25.0,24.0,26.0
3,RMC,HR,21.0,19.0,22.0
3,RMC,CY,6.0,1.0,24.0
3,RMC,CZ,16.0,10.0,18.0
3,RMC,DK,20.0,18.0,22.0
3,RMC,EE,17.0,7.0,20.0
3,RMC,FI,7.0,4.0,13.0
3,RMC,FR,8.0,5.0,12.0
3,RMC,DE,16.0,10.0,19.0
3,RMC,EL,1.0,1.0,2.0
3,RMC,HU,26.0,25.0,27.0
3,RMC,IE,22.0,19.0,23.0
3,RMC,IT,3.0,2.0,6.0
3,RMC,LV,23.0,19.0,24.0
3,RMC,LT,24.0,23.0,25.0
3,RMC,LU,2.0,1.0,5.0
3,RMC,MT,14.0,8.0,18.0
3,RMC,NL,11.0,6.0,18.0
3,RMC,PL,14.0,10.0,18.0
3,RMC,PT,10.0,6.0,14.0
3,RMC,RO,27.0,26.0,27.0
3,RMC,SK,19.0,11.0,22.0
3,RMC,SI,14.0,8.0,19.0
3,RMC,ES,6.0,4.0,16.0
