block_length,quantity,median,diagnostic_q025,diagnostic_q975,mean,sd
2,a_CMUR_TERR,0.11355311355311355,-0.003663003663003663,0.19291819291819293,0.10884261469475576,0.04987144400434138
2,b_DMC_TERR,0.4133089133089133,0.28998778998779,0.6135531135531136,0.4273716727716727,0.0863346501426898
2,c_RMC_TERR,0.5439560439560439,0.4468864468864469,0.6788766788766789,0.5512539682539682,0.06063910851252058
2,d_CMUR_CFOOT,0.10775335775335776,0.004273504273504274,0.19047619047619047,0.10548785278999386,0.04754680685464087
2,e_DMC_CFOOT,0.4938949938949939,0.3998778998778999,0.6465201465201466,0.5015257631257631,0.061393945085657736
2,f_RMC_CFOOT,0.7087912087912088,0.6190476190476191,0.8021978021978022,0.7092518315018315,0.04632031877090102
2,full_grid_range,0.615995115995116,0.4938949938949939,0.7399267399267399,0.6171910849389438,0.06125691384374167
3,a_CMUR_TERR,0.1111111111111111,-0.005494505494505495,0.19719169719169719,0.10643169370511944,0.051142973380508126
3,b_DMC_TERR,0.41086691086691085,0.2863247863247863,0.6349358974358972,0.42753998778998775,0.09174203281634627
3,c_RMC_TERR,0.5433455433455433,0.4462759462759463,0.6770451770451771,0.5514714285714286,0.06112910806594069
3,d_CMUR_CFOOT,0.10683760683760683,0.009157509157509158,0.18925518925518925,0.10524555240449451,0.04616925638954025
3,e_DMC_CFOOT,0.49633699633699635,0.4084249084249084,0.6495726495726496,0.5057023199023198,0.061090699110707115
3,f_RMC_CFOOT,0.7094017094017094,0.6257478632478632,0.800976800976801,0.7107503052503052,0.04394552288475553
3,full_grid_range,0.6190476190476191,0.5006105006105006,0.7362637362637363,0.6202504493430815,0.05970851030030479
