diagnostic_key,public_label,n_countries,n_years,specification,estimator,cmur_mode,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,cell_metric,full_grid_range_metric,selected_endpoint_metric,full_grid_minimum,full_grid_minimum_cell_key,full_grid_minimum_cell_label,full_grid_maximum,full_grid_maximum_cell_key,full_grid_maximum_cell_label,full_grid_range,selected_endpoint_cell_difference,dmc_minus_cmur_territorial,dmc_minus_cmur_consumption,rmc_minus_dmc_territorial,rmc_minus_dmc_consumption,rmc_minus_cmur_territorial,rmc_minus_cmur_consumption,consumption_minus_territorial_cmur,consumption_minus_territorial_dmc,consumption_minus_territorial_rmc
baseline,Full 2010–2023 baseline,27,14,primary_common_pc,OLS,pp,0.09218559218559218,0.4065934065934066,0.5366300366300365,0.08424908424908426,0.47191697191697196,0.688034188034188,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.08424908424908426,d_CMUR_CFOOT,CMUR × consumption,0.688034188034188,f_RMC_CFOOT,RMC × consumption,0.6037851037851037,0.5958485958485958,0.3144078144078144,0.38766788766788773,0.1300366300366299,0.21611721611721607,0.4444444444444443,0.6037851037851037,-0.007936507936507922,0.06532356532356537,0.15140415140415153
published_pc,Published per-capita convention,27,14,published_pc,OLS,pp,0.08852258852258853,0.409035409035409,0.5286935286935286,0.09645909645909646,0.48168498168498164,0.6916971916971917,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.08852258852258853,a_CMUR_TERR,CMUR × territorial,0.6916971916971917,f_RMC_CFOOT,RMC × consumption,0.6031746031746031,0.6031746031746031,0.3205128205128205,0.3852258852258852,0.11965811965811957,0.21001221001221004,0.44017094017094005,0.5952380952380952,0.007936507936507936,0.07264957264957261,0.1630036630036631
common_log_CMUR,Common-log CMUR convention,27,14,primary_common_pc,OLS,log,-0.10805860805860806,0.4065934065934066,0.5366300366300365,-0.024420024420024417,0.47191697191697196,0.688034188034188,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,-0.10805860805860806,a_CMUR_TERR,CMUR × territorial,0.688034188034188,f_RMC_CFOOT,RMC × consumption,0.7960927960927962,0.7960927960927962,0.5146520146520146,0.49633699633699635,0.1300366300366299,0.21611721611721607,0.6446886446886446,0.7124542124542125,0.08363858363858365,0.06532356532356537,0.15140415140415153
Theil_Sen,Theil–Sen estimator,27,14,primary_common_pc,THEIL_SEN,pp,0.08485958485958486,0.49877899877899873,0.6379731379731379,0.05738705738705738,0.5506715506715506,0.7997557997557997,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.05738705738705738,d_CMUR_CFOOT,CMUR × consumption,0.7997557997557997,f_RMC_CFOOT,RMC × consumption,0.7423687423687423,0.7148962148962148,0.4139194139194139,0.4932844932844932,0.1391941391941392,0.2490842490842491,0.553113553113553,0.7423687423687423,-0.027472527472527486,0.051892551892551875,0.16178266178266176
total_scale,National-total scale convention,27,14,total_scale,OLS,pp,0.1349206349206349,0.32722832722832723,0.37484737484737485,0.01282051282051282,0.44017094017094016,0.5653235653235653,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.01282051282051282,d_CMUR_CFOOT,CMUR × consumption,0.5653235653235653,f_RMC_CFOOT,RMC × consumption,0.5525030525030525,0.43040293040293043,0.19230769230769232,0.42735042735042733,0.047619047619047616,0.12515262515262515,0.23992673992673993,0.5525030525030525,-0.1221001221001221,0.11294261294261293,0.19047619047619047
common_even_year,Common even-year support,27,7,primary_common_pc,OLS,pp,0.11965811965811966,0.3687423687423687,0.467032967032967,0.12454212454212454,0.4896214896214896,0.6892551892551892,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.11965811965811966,a_CMUR_TERR,CMUR × territorial,0.6892551892551892,f_RMC_CFOOT,RMC × consumption,0.5695970695970696,0.5695970695970696,0.24908424908424903,0.36507936507936506,0.09829059829059827,0.19963369963369965,0.3473748473748473,0.5647130647130647,0.0048840048840048805,0.1208791208791209,0.22222222222222227
exclude_2020_2021,Exclude 2020 and 2021,27,12,primary_common_pc,OLS,pp,0.115995115995116,0.36080586080586086,0.5280830280830281,0.09401709401709402,0.41941391941391937,0.647130647130647,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09401709401709402,d_CMUR_CFOOT,CMUR × consumption,0.647130647130647,f_RMC_CFOOT,RMC × consumption,0.553113553113553,0.531135531135531,0.24481074481074486,0.32539682539682535,0.16727716727716724,0.22771672771672768,0.41208791208791207,0.553113553113553,-0.021978021978021983,0.05860805860805851,0.11904761904761896
