geo,representation,ols_progress_score,theil_sen_progress_score,ols_sign,theil_sen_sign,sign_changed_ols_to_theil_sen
PL,DMC,-0.001919654405753156,-0.004360835584549694,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
PL,RMC,-0.0001600995432587591,-0.0018417923701570804,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
PL,TERR,0.0034588260030328933,0.003999619438531443,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PL,CFOOT,0.005212576076533237,0.006270259140034406,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PT,CMUR,0.08813186813186812,0.09090909090909088,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PT,DMC,0.007385208823302675,0.007941866671348607,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PT,RMC,0.006092576466455123,0.004977149257095232,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PT,TERR,0.01762681491703866,0.017412548810657368,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
PT,CFOOT,0.015139292261103943,0.015025365165248954,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
RO,CMUR,-0.12659340659340654,-0.10000000000000009,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
RO,DMC,-0.0523047157103171,-0.048749398871249114,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
RO,RMC,-0.05340112362272577,-0.05296042848567524,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
RO,TERR,0.006613004340756339,0.006218812707567678,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
RO,CFOOT,-0.012304001231243325,-0.015317126044309681,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
SK,CMUR,0.5760439560439561,0.53,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SK,DMC,0.00783179907079104,0.009139009507802292,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SK,RMC,-0.006994914882200673,-0.006608235430712576,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
SK,TERR,0.01557142024771875,0.015490998888041174,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SK,CFOOT,0.0030568351127448863,0.002122074900432702,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SI,CMUR,0.15912087912087916,0.125,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SI,DMC,-0.002727495779910611,-0.00954360333219908,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
SI,RMC,0.0005081196830298717,-0.002262802384309845,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,True
SI,TERR,0.02114376570610878,0.02187868672962623,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SI,CFOOT,0.012465904421875697,0.010661801611159039,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
ES,CMUR,-0.052527472527472675,-0.050000000000000044,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
ES,DMC,0.012149240956735386,0.00192546241843079,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
ES,RMC,0.009987398845510458,-0.0021173614969542064,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,True
ES,TERR,0.02172456555450183,0.020770835079132133,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
ES,CFOOT,0.012969422003911522,0.01282290073629988,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SE,CMUR,0.21164835164835172,0.06666666666666672,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SE,DMC,-0.005676395673856185,-0.008285861591732205,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
SE,RMC,0.003388192634036378,0.0035993592291192478,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SE,TERR,0.034294721825685215,0.03269231721953303,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
SE,CFOOT,0.03581290126052187,0.0347236036998857,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
