block_length,comparison_key,geo,rank_displacement_median,rank_displacement_diagnostic_q025,rank_displacement_diagnostic_q975,mean_abs_rank_displacement_across_bootstrap
2,TERR_to_CFOOT,ES,4.0,-2.0,7.0,3.4966
2,TERR_to_CFOOT,SE,-5.0,-7.0,-2.0,4.5382
3,CMUR_to_DMC,AT,3.0,-4.0,8.0,3.36435
3,CMUR_to_DMC,BE,2.0,-4.0,6.0,2.4132
3,CMUR_to_DMC,BG,9.0,7.0,12.0,9.4488
3,CMUR_to_DMC,HR,11.0,9.0,13.0,10.8011
3,CMUR_to_DMC,CY,-2.0,-11.0,16.0,7.36055
3,CMUR_to_DMC,CZ,8.0,4.0,10.0,8.1085
3,CMUR_to_DMC,DK,1.0,-2.0,4.0,1.56305
3,CMUR_to_DMC,EE,10.0,0.0,15.0,8.9713
3,CMUR_to_DMC,FI,-16.0,-20.0,-11.0,15.8533
3,CMUR_to_DMC,FR,-14.0,-19.0,-8.0,13.8814
3,CMUR_to_DMC,DE,-9.0,-11.0,-4.0,8.7859
3,CMUR_to_DMC,EL,-10.0,-13.0,-6.0,9.5175
3,CMUR_to_DMC,HU,4.0,0.0,9.0,4.3601
3,CMUR_to_DMC,IE,-1.0,-5.0,0.0,1.66095
3,CMUR_to_DMC,IT,1.0,-1.0,5.0,1.0568
3,CMUR_to_DMC,LV,12.0,6.0,16.0,11.57345
3,CMUR_to_DMC,LT,7.0,4.0,9.0,6.52175
3,CMUR_to_DMC,LU,-11.0,-15.0,-7.0,10.9915
3,CMUR_to_DMC,MT,21.0,12.0,25.0,20.7028
3,CMUR_to_DMC,NL,-5.0,-8.0,-1.0,4.6959
3,CMUR_to_DMC,PL,-10.0,-12.0,-7.0,9.8034
3,CMUR_to_DMC,PT,-8.0,-12.0,-3.0,8.2042
3,CMUR_to_DMC,RO,3.0,2.0,4.0,3.4637
3,CMUR_to_DMC,SK,4.0,0.0,8.0,3.7306
3,CMUR_to_DMC,SI,1.0,-3.0,4.0,1.5014
3,CMUR_to_DMC,ES,-17.0,-20.0,-3.0,14.8541
3,CMUR_to_DMC,SE,3.0,-3.0,9.0,3.8787
3,DMC_to_RMC,AT,-2.0,-6.0,3.0,2.26
3,DMC_to_RMC,BE,-3.0,-9.0,4.0,3.3044
3,DMC_to_RMC,BG,2.0,0.0,4.0,2.2004
3,DMC_to_RMC,HR,-1.0,-3.0,2.0,0.9634
3,DMC_to_RMC,CY,0.0,-3.0,2.0,0.9166
3,DMC_to_RMC,CZ,3.0,0.0,6.0,3.2074
3,DMC_to_RMC,DK,2.0,1.0,4.0,2.3733
3,DMC_to_RMC,EE,1.0,-2.0,5.0,1.7682
3,DMC_to_RMC,FI,-2.0,-6.0,1.0,2.525
3,DMC_to_RMC,FR,0.0,-4.0,2.0,1.2825
3,DMC_to_RMC,DE,11.0,4.0,15.0,10.492
3,DMC_to_RMC,EL,0.0,-1.0,1.0,0.2159
3,DMC_to_RMC,HU,1.0,0.0,4.0,1.5943
3,DMC_to_RMC,IE,2.0,0.0,5.0,2.5704
3,DMC_to_RMC,IT,0.0,-4.0,2.0,0.7041
3,DMC_to_RMC,LV,-2.0,-5.0,1.0,1.671
3,DMC_to_RMC,LT,-2.0,-3.0,0.0,1.5991
3,DMC_to_RMC,LU,-13.0,-17.0,-10.0,13.4718
3,DMC_to_RMC,MT,-8.0,-13.0,0.0,7.794
3,DMC_to_RMC,NL,9.0,3.0,16.0,9.0057
3,DMC_to_RMC,PL,-1.0,-4.0,1.0,1.5251
3,DMC_to_RMC,PT,0.0,-3.0,3.0,1.1754
3,DMC_to_RMC,RO,0.0,-1.0,0.0,0.3191
