geo,CMUR,DMC,RMC,TERR,CFOOT
AT,0.4619780219780187,0.0070974226280618,0.0084820364891293,0.0171992267317311,0.0139708081059327
BE,0.5338461538461536,0.0097911385732221,0.0177947648030381,0.0218278522115642,0.0203552829131455
BG,0.2169230769230761,-0.0283877847637859,-0.041630092820472,0.0032569554526474,-0.0070957069805913
CY,0.3621978021977974,0.0089947082266671,0.0098007596126862,0.0099458427119181,0.0137844326902384
CZ,0.6156043956043893,0.0037621111515539,-0.0019645236887531,0.0195457253365045,0.012708189290676
DE,0.2127472527472497,0.0150341313054497,-0.0019495145033434,0.0261429770499786,0.0199379226409674
DK,0.1072527472527442,-0.0062193577141322,-0.01446859597497,0.0387916333215222,0.0195771813819027
EE,0.603516483516483,-0.0010253949316059,-0.0033610115355586,0.0525301814723976,0.0234714380861217
EL,0.3206593406593357,0.034654679128397,0.0327263162257625,0.0328229313067442,0.0286544750407897
ES,-0.0525274725274725,0.0121492409567357,0.0099873988455107,0.0217245655545016,0.0129694220039115
FI,-0.5380219780219733,0.0068607449762067,0.0093454621151015,0.040334296775252,0.032098163868715
FR,-0.1171428571428553,0.0078695244436682,0.0077876158031041,0.0241605521803039,0.0210690628860927
HR,0.3213186813186802,-0.0169791275652453,-0.0149832303037645,-0.0016257853532976,-0.0114191575566482
HU,0.0094505494505501,-0.0352371276813108,-0.0491898851244441,0.0019828200240636,-0.0051110047902008
IE,-0.0021978021978023,-0.0090755234202937,-0.0194939641948864,0.0137176631971316,-0.0091430642816727
IT,0.7171428571428538,0.0200368636923192,0.0209396675942874,0.0201469352993582,0.0178819713031974
LT,0.0382417582417579,-0.0400544865864973,-0.0320616733513436,0.0004127644641793,0.0108188292621287
LU,-0.8375824175824199,-0.0030602521826157,0.0271455232076885,0.0500937266016787,0.0353808304834103
LV,0.2523076923076921,-0.0329590884236254,-0.0242726267245106,-0.0010007251665793,0.0012409120117897
MT,1.325714285714268,-0.0238773746401567,-0.0003570843477145,0.054187613383168,0.0283667518929846
NL,0.4505494505494476,0.0260074103104685,0.0035972294659144,0.0301399333684922,0.0188229780453137
PL,-0.3639560439560396,-0.0019196544057532,-0.0001600995432588,0.0034588260030328,0.0052125760765332
PT,0.0881318681318673,0.0073852088233027,0.0060925764664553,0.0176268149170384,0.0151392922611039
RO,-0.1265934065934063,-0.0523047157103168,-0.0534011236227254,0.0066130043407562,-0.012304001231243
SE,0.2116483516483485,-0.0056763956738562,0.0033881926340362,0.0342947218256849,0.0358129012605215
SI,0.1591208791208812,-0.0027274957799102,0.0005081196830302,0.0211437657061086,0.0124659044218757
SK,0.5760439560439484,0.007831799070791,-0.0069949148822003,0.0155714202477186,0.003056835112745
