panel,geo,material_progress_score,climate_progress_score,spearman_rho,pearson_r
CMUR_TERR,AT,0.4619780219780187,0.0171992267317311,0.0921855921855921,0.1131205066675683
CMUR_TERR,BE,0.5338461538461536,0.0218278522115642,0.0921855921855921,0.1131205066675683
CMUR_TERR,BG,0.2169230769230761,0.0032569554526474,0.0921855921855921,0.1131205066675683
CMUR_TERR,CY,0.3621978021977974,0.0099458427119181,0.0921855921855921,0.1131205066675683
CMUR_TERR,CZ,0.6156043956043893,0.0195457253365045,0.0921855921855921,0.1131205066675683
CMUR_TERR,DE,0.2127472527472497,0.0261429770499786,0.0921855921855921,0.1131205066675683
CMUR_TERR,DK,0.1072527472527442,0.0387916333215222,0.0921855921855921,0.1131205066675683
CMUR_TERR,EE,0.603516483516483,0.0525301814723976,0.0921855921855921,0.1131205066675683
CMUR_TERR,EL,0.3206593406593357,0.0328229313067442,0.0921855921855921,0.1131205066675683
CMUR_TERR,ES,-0.0525274725274725,0.0217245655545016,0.0921855921855921,0.1131205066675683
CMUR_TERR,FI,-0.5380219780219733,0.040334296775252,0.0921855921855921,0.1131205066675683
CMUR_TERR,FR,-0.1171428571428553,0.0241605521803039,0.0921855921855921,0.1131205066675683
CMUR_TERR,HR,0.3213186813186802,-0.0016257853532976,0.0921855921855921,0.1131205066675683
CMUR_TERR,HU,0.0094505494505501,0.0019828200240636,0.0921855921855921,0.1131205066675683
CMUR_TERR,IE,-0.0021978021978023,0.0137176631971316,0.0921855921855921,0.1131205066675683
CMUR_TERR,IT,0.7171428571428538,0.0201469352993582,0.0921855921855921,0.1131205066675683
CMUR_TERR,LT,0.0382417582417579,0.0004127644641793,0.0921855921855921,0.1131205066675683
CMUR_TERR,LU,-0.8375824175824199,0.0500937266016787,0.0921855921855921,0.1131205066675683
CMUR_TERR,LV,0.2523076923076921,-0.0010007251665793,0.0921855921855921,0.1131205066675683
CMUR_TERR,MT,1.325714285714268,0.054187613383168,0.0921855921855921,0.1131205066675683
CMUR_TERR,NL,0.4505494505494476,0.0301399333684922,0.0921855921855921,0.1131205066675683
