role,period,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT
PRIMARY,FULL_2010_2023,0.0921855921855921,0.4065934065934066,0.5366300366300365,0.0842490842490842,0.4719169719169719,0.688034188034188
SECONDARY,EARLY_2010_2016,-0.2137731175583235,0.2521367521367521,0.4365079365079364,-0.1850664417719201,0.5006105006105006,0.6862026862026862
SECONDARY,LATE_2017_2023,0.094017094017094,0.6001221001221001,0.4206349206349206,0.0879120879120879,0.4603174603174603,0.427960927960928
