period,material_representation,rho_material_TERR,rho_material_PROD,rho_material_CFOOT,delta_TERR_to_PROD,delta_PROD_to_CFOOT,delta_TERR_to_CFOOT
FULL_2010_2023,CMUR,0.0921855921855921,0.0799755799755799,0.0842490842490842,-0.0122100122100122,0.0042735042735042,-0.0079365079365079
FULL_2010_2023,DMC,0.4065934065934066,0.6642246642246642,0.4719169719169719,0.2576312576312576,-0.1923076923076922,0.0653235653235653
FULL_2010_2023,RMC,0.5366300366300365,0.5525030525030524,0.688034188034188,0.0158730158730159,0.1355311355311356,0.1514041514041515
EARLY_2010_2016,CMUR,-0.2137731175583235,-0.0748205911454132,-0.1850664417719201,0.1389525264129103,-0.1102458506265068,0.0287066757864034
EARLY_2010_2016,DMC,0.2521367521367521,0.3388278388278388,0.5006105006105006,0.0866910866910866,0.1617826617826618,0.2484737484737484
EARLY_2010_2016,RMC,0.4365079365079364,0.4249084249084248,0.6862026862026862,-0.0115995115995116,0.2612942612942613,0.2496947496947497
LATE_2017_2023,CMUR,0.094017094017094,0.0647130647130647,0.0879120879120879,-0.0293040293040292,0.0231990231990231,-0.0061050061050061
LATE_2017_2023,DMC,0.6001221001221001,0.5836385836385837,0.4603174603174603,-0.0164835164835164,-0.1233211233211233,-0.1398046398046398
LATE_2017_2023,RMC,0.4206349206349206,0.3638583638583638,0.427960927960928,-0.0567765567765567,0.0641025641025641,0.0073260073260074
